,icl_prompt,ground_truth,target_attributes,GPT 4 Response,born,died,year
0,"Akira, Suzuki, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 1930
Yitzhak, Rabin, ""for their efforts to create peace in the Middle East"", Peace: 1922
Wilhelm, Wien, ""for his discoveries regarding the laws governing the radiation of heat"", Physics: 1864
Rodney R., Porter, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: ",1917,born,1917,1917,1985,1972
1,"Vitaly L., Ginzburg, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: 1916
Max, Delbrück, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: 1906
Carl D., Anderson, ""for his discovery of the positron"", Physics: 1905
Claude, Simon, ""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition"", Literature: ",1913,born,1913,1913,2005,1985
2,"Werner, Forssmann, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: 1904
Dennis, Gabor, ""for his invention and development of the holographic method"", Physics: 1900
Yoichiro, Nambu, ""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"", Physics: 1921
Ahmed, Zewail, ""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"", Chemistry: ",1946,born,1946,1946,2016,1999
3,"Vicente, Aleixandre, ""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars"", Literature: 1898
Henryk, Sienkiewicz, ""because of his outstanding merits as an epic writer"", Literature: 1846
Andre, Geim, ""for groundbreaking experiments regarding the two-dimensional material graphene"", Physics: 1958
Nicolaas, Bloembergen, ""for their contribution to the development of laser spectroscopy"", Physics: ",1920,born,1920,1920,2017,1981
4,"Vincent, du Vigneaud, ""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone"", Chemistry: 1901
Aaron, Ciechanover, ""for the discovery of ubiquitin-mediated protein degradation"", Chemistry: 1947
Angus, Deaton, ""for his analysis of consumption poverty and welfare"", Economics: 1945
Mikhail, Sholokhov, ""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people"", Literature: ",1905,born,1905,1905,1984,1965
5,"Robert J., Shiller, ""for their empirical analysis of asset prices"", Economics: 1946
J. Hans D., Jensen, ""for their discoveries concerning nuclear shell structure"", Physics: 1907
Kai M., Siegbahn, ""for his contribution to the development of high-resolution electron spectroscopy"", Physics: 1918
Konrad, Bloch, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: ",1912,born,1912,1912,2000,1964
6,"Kip S., Thorne, ""for decisive contributions to the LIGO detector and the observation of gravitational waves"", Physics: 1940
Jacques, Monod, ""for their discoveries concerning genetic control of enzyme and virus synthesis"", Medicine: 1910
Carolyn, Bertozzi, ""for the development of click chemistry and bioorthogonal chemistry"", Chemistry: 1966
Arthur, Henderson, ""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"", Peace: ",1863,born,1863,1863,1935,1934
7,"Christopher A., Pissarides, ""for their analysis of markets with search frictions"", Economics: 1948
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: 1908
Konrad, Lorenz, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: 1903
Simon, van der Meer, ""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"", Physics: ",1925,born,1984,1925,2011,1984
8,"Fredrik, Bajer, ""for their long time work for the cause of peace as politicians peace society leaders orators and authors"", Peace: 1837
Emmanuelle, Charpentier, ""for the development of a method for genome editing"", Chemistry: 1968
Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: 1910
Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: ",1857,born,1857,1857,1952,1932
9,"Camillo, Golgi, ""in recognition of their work on the structure of the nervous system"", Medicine: 1843
John, Steinbeck, ""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception"", Literature: 1902
Olga, Tokarczuk, ""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life"", Literature: 1962
Marie, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: ",1867,born,1867,1867,1934,1903
10,"Paul, Sabatier, ""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"", Chemistry: 1854
Martin Luther, King Jr., ""for his non-violent struggle for civil rights for the Afro-American population"", Peace: 1929
Anton, Zeilinger, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: 1945
Craig C., Mello, ""for their discovery of RNA interference - gene silencing by double-stranded RNA"", Medicine: ",1960,born,1960,1960,,2006
11,"Rudolf, Mössbauer, ""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"", Physics: 1929
Jacobus H., van 't Hoff, ""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"", Chemistry: 1852
Werner, Arber, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: 1929
Erwin, Neher, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: ",1944,born,1944,1944,,1991
12,"Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: 1937
Alfred, Werner, ""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry"", Chemistry: 1866
Daniel, Kahneman, ""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty"", Economics: 1934
Roger, Penrose, ""for the discovery that black hole formation is a robust prediction of the general theory of relativity"", Physics: ",1931,born,1931,1931,,2020
13,"William, Faulkner, ""for his powerful and artistically unique contribution to the modern American novel"", Literature: 1897
Derek, Barton, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: 1918
Jacobus H., van 't Hoff, ""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"", Chemistry: 1852
Selma, Lagerlöf, ""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings"", Literature: ",1858,born,1858,1858,1940,1909
14,"M. Stanley, Whittingham, ""for the development of lithium-ion batteries"", Chemistry: 1941
Angus, Deaton, ""for his analysis of consumption poverty and welfare"", Economics: 1945
Mikhail, Gorbachev, ""for the leading role he played in the radical changes in East-West relations"", Peace: 1931
Henri, Moissan, ""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him"", Chemistry: ",1852,born,1852,1852,1907,1906
15,"George E., Palade, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: 1912
Nadine, Gordimer, ""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"", Literature: 1923
Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: 1927
Louis, Renault, ""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"", Peace: ",1843,born,1877,1843,1918,1907
16,"Mikhail, Gorbachev, ""for the leading role he played in the radical changes in East-West relations"", Peace: 1931
Steven, Chu, ""for development of methods to cool and trap atoms with laser light"", Physics: 1948
Sir Charles, Sherrington, ""for their discoveries regarding the functions of neurons"", Medicine: 1857
Richard F., Heck, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: ",1931,born,1931,1931,2015,2010
17,"Elias James, Corey, ""for his development of the theory and methodology of organic synthesis"", Chemistry: 1928
Kip S., Thorne, ""for decisive contributions to the LIGO detector and the observation of gravitational waves"", Physics: 1940
Roger, Guillemin, ""for their discoveries concerning the peptide hormone production of the brain"", Medicine: 1924
Mario, Vargas Llosa, ""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat"", Literature: ",1936,born,1936,1936,,2010
18,"William D., Nordhaus, ""for integrating climate change into long-run macroeconomic analysis"", Economics: 1941
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: 1911
Kary B., Mullis, ""for his invention of the polymerase chain reaction (PCR) method"", Chemistry: 1944
Alexis, Carrel, ""in recognition of his work on vascular suture and the transplantation of blood vessels and organs"", Medicine: ",1873,born,1873,1873,1944,1912
19,"Alexandr, Solzhenitsyn, ""for the ethical force with which he has pursued the indispensable traditions of Russian literature"", Literature: 1918
Joshua, Lederberg, ""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"", Medicine: 1925
Barack, Obama, ""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"", Peace: 1961
Maurice, Allais, ""for his pioneering contributions to the theory of markets and efficient utilization of resources"", Economics: ",1911,born,1911,1911,2010,1988
20,"Alfred G., Gilman, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: 1941
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: 1911
Bert, Sakmann, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: 1942
William F., Sharpe, ""for their pioneering work in the theory of financial economics"", Economics: ",1934,born,1934,1934,,1990
21,"Gerhard, Ertl, ""for his studies of chemical processes on solid surfaces"", Chemistry: 1936
Godfrey N., Hounsfield, ""for the development of computer assisted tomography"", Medicine: 1919
Anatole, France, ""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament"", Literature: 1844
Sir Alexander, Fleming, ""for the discovery of penicillin and its curative effect in various infectious diseases"", Medicine: ",1881,born,1881,1881,1955,1945
22,"Willis E., Lamb, ""for his discoveries concerning the fine structure of the hydrogen spectrum"", Physics: 1913
Arthur L., Schawlow, ""for their contribution to the development of laser spectroscopy"", Physics: 1921
Wilhelm, Wien, ""for his discoveries regarding the laws governing the radiation of heat"", Physics: 1864
Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: ",1930,born,1930,1930,2017,1992
23,"Rudolph A., Marcus, ""for his contributions to the theory of electron transfer reactions in chemical systems"", Chemistry: 1923
Joseph E., Stiglitz, ""for their analyses of markets with asymmetric information"", Economics: 1943
William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: 1914
Robert S., Mulliken, ""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"", Chemistry: ",1896,born,1896,1896,1986,1966
24,"Roald, Hoffmann, ""for their theories developed independently concerning the course of chemical reactions"", Chemistry: 1937
Martin, Ryle, ""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"", Physics: 1918
Imre, Kertész, ""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"", Literature: 1929
Bertil, Ohlin, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: ",1899,born,1899,1899,1979,1977
25,"Georges J.F., Köhler, ""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"", Medicine: 1946
Harold C., Urey, ""for his discovery of heavy hydrogen"", Chemistry: 1893
Jaroslav, Seifert, ""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"", Literature: 1901
Denis, Mukwege, ""for their efforts to end the use of sexual violence as a weapon of war and armed conflict"", Peace: ",1955,born,1959,1955,,2018
26,"Charles G., Dawes, ""for his crucial role in bringing about the Dawes Plan"", Peace: 1865
Jean-Pierre, Sauvage, ""for the design and synthesis of molecular machines"", Chemistry: 1944
Alain, Aspect, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: 1947
William P., Murphy, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: ",1892,born,1892,1892,1987,1934
27,"Derek, Walcott, ""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment"", Literature: 1930
Tsung-Dao, Lee, ""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"", Physics: 1926
Arvid, Carlsson, ""for their discoveries concerning signal transduction in the nervous system"", Medicine: 1923
Norman F., Ramsey, ""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"", Physics: ",1915,born,1915,1915,2011,1989
28,"Susumu, Tonegawa, ""for his discovery of the genetic principle for generation of antibody diversity"", Medicine: 1939
John R., Hicks, ""for their pioneering contributions to general economic equilibrium theory and welfare theory"", Economics: 1904
Franco, Modigliani, ""for his pioneering analyses of saving and of financial markets"", Economics: 1918
Gertrude B., Elion, ""for their discoveries of important principles for drug treatment"", Medicine: ",1918,born,1918,1918,1999,1988
29,"Kary B., Mullis, ""for his invention of the polymerase chain reaction (PCR) method"", Chemistry: 1944
Ferid, Murad, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: 1936
Frank, Wilczek, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: 1951
Verner, von Heidenstam, ""in recognition of his significance as the leading representative of a new era in our literature"", Literature: ",1859,born,1859,1859,1940,1916
30,"Salvador E., Luria, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: 1912
Robert E., Lucas Jr., ""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"", Economics: 1937
Erwin, Neher, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: 1944
Sir John, Eccles, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: ",1903,born,1903,1903,1997,1963
31,"George P., Smith, ""for the phage display of peptides and antibodies"", Chemistry: 1941
Gabriela, Mistral, ""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world"", Literature: 1889
Joachim, Frank, ""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"", Chemistry: 1940
Lawrence R., Klein, ""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"", Economics: ",1920,born,1920,1920,2013,1980
32,"Julian, Schwinger, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: 1918
Richard R., Ernst, ""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"", Chemistry: 1933
Friedrich, Bergius, ""in recognition of their contributions to the invention and development of chemical high pressure methods"", Chemistry: 1884
Alain, Aspect, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: ",1947,born,1947,1947,,2022
33,"Richard H., Thaler, ""for his contributions to behavioural economics"", Economics: 1945
Hideki, Yukawa, ""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"", Physics: 1907
Alva, Myrdal, ""for their work for disarmament and nuclear and weapon-free zones"", Peace: 1902
Reinhard, Selten, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: ",1930,born,1930,1930,2016,1994
34,"Olga, Tokarczuk, ""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life"", Literature: 1962
Andrew Z., Fire, ""for their discovery of RNA interference - gene silencing by double-stranded RNA"", Medicine: 1959
Vicente, Aleixandre, ""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars"", Literature: 1898
Thomas H., Morgan, ""for his discoveries concerning the role played by the chromosome in heredity"", Medicine: ",1866,born,1866,1866,1945,1933
35,"Peter, Medawar, ""for discovery of acquired immunological tolerance"", Medicine: 1915
Alain, Aspect, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: 1947
Ernst, Ruska, ""for his fundamental work in electron optics and for the design of the first electron microscope"", Physics: 1906
Günter, Grass, ""whose frolicsome black fables portray the forgotten face of history"", Literature: ",1927,born,1927,1927,2015,1999
36,"Youyou, Tu, ""for her discoveries concerning a novel therapy against Malaria"", Medicine: 1930
Arthur B., McDonald, ""for the discovery of neutrino oscillations which shows that neutrinos have mass"", Physics: 1943
Manfred, Eigen, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: 1927
Paul, Sabatier, ""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"", Chemistry: ",1854,born,1854,1854,1941,1912
37,"Aaron, Klug, ""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"", Chemistry: 1926
Dudley R., Herschbach, ""for their contributions concerning the dynamics of chemical elementary processes"", Chemistry: 1932
William E., Moerner, ""for the development of super-resolved fluorescence microscopy"", Chemistry: 1953
Fridtjof, Nansen, ""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees"", Peace: ",1861,born,1861,1861,1930,1922
38,"Willard S., Boyle, ""for the invention of an imaging semiconductor circuit - the CCD sensor"", Physics: 1924
Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: 1937
Henrik, Dam, ""for his discovery of vitamin K"", Medicine: 1895
Czeslaw, Milosz, ""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts"", Literature: ",1911,born,1911,1911,2004,1980
39,"Ryoji, Noyori, ""for their work on chirally catalysed hydrogenation reactions"", Chemistry: 1938
J.J., Thomson, ""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"", Physics: 1856
Mario R., Capecchi, ""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"", Medicine: 1937
Frederick, Reines, ""for the detection of the neutrino"", Physics: ",1918,born,1918,1918,1998,1995
